gene_symbol,entrez_id,ensembl_gene_id,mgi_gene_id,uniprot_id,family_id,sf_id,family_name,subfamily_name
Bpifb6,,,MGI:2684965,,PTHR46019,PTHR46019:SF2,BPI FOLD-CONTAINING FAMILY B MEMBER 4-RELATED,BPI FOLD-CONTAINING FAMILY B MEMBER 6
Bpifb9a,,,MGI:3767993,,PTHR40142,PTHR40142:SF1,"BPI FOLD-CONTAINING FAMILY B, MEMBER 9B-RELATED","BPI FOLD-CONTAINING FAMILY B, MEMBER 9B-RELATED"
Bpifb9b,,,MGI:1918675,,PTHR40142,PTHR40142:SF1,"BPI FOLD-CONTAINING FAMILY B, MEMBER 9B-RELATED","BPI FOLD-CONTAINING FAMILY B, MEMBER 9B-RELATED"
Bpifc,,,MGI:3026884,,PTHR10504,PTHR10504:SF17,BACTERICIDAL PERMEABILITY-INCREASING  BPI  PROTEIN-RELATED,BPI FOLD-CONTAINING FAMILY C PROTEIN
Bpnt1,,,MGI:1338800,,PTHR43028,PTHR43028:SF5,"3'(2'),5'-BISPHOSPHATE NUCLEOTIDASE 1","3'(2'),5'-BISPHOSPHATE NUCLEOTIDASE 1"
Bptf,,,MGI:2444008,,PTHR45975,PTHR45975:SF2,NUCLEOSOME-REMODELING FACTOR SUBUNIT BPTF,NUCLEOSOME-REMODELING FACTOR SUBUNIT BPTF
Braf,,,MGI:88190,,PTHR44329,PTHR44329:SF47,SERINE/THREONINE-PROTEIN KINASE TNNI3K-RELATED,SERINE/THREONINE-PROTEIN KINASE B-RAF
Brap,,,MGI:1919649,,PTHR24007,PTHR24007:SF7,BRCA1-ASSOCIATED PROTEIN,BRCA1-ASSOCIATED PROTEIN
Brat1,,,MGI:1891679,,PTHR21331,PTHR21331:SF2,BRCA1-ASSOCIATED ATM ACTIVATOR 1,BRCA1-ASSOCIATED ATM ACTIVATOR 1
Brca1,,,MGI:104537,,PTHR13763,PTHR13763:SF0,BREAST CANCER TYPE 1 SUSCEPTIBILITY PROTEIN BRCA1,BREAST CANCER TYPE 1 SUSCEPTIBILITY PROTEIN
Brca2,,,MGI:109337,,PTHR11289,PTHR11289:SF0,BREAST CANCER TYPE 2 SUSCEPTIBILITY PROTEIN BRCA2,BREAST CANCER TYPE 2 SUSCEPTIBILITY PROTEIN
Brcc3,,,MGI:2389572,,PTHR10410,PTHR10410:SF2,EUKARYOTIC TRANSLATION INITIATION FACTOR 3 -RELATED,LYS-63-SPECIFIC DEUBIQUITINASE BRCC36-RELATED
Brd1,,,MGI:1924161,,PTHR13793,PTHR13793:SF17,PHD FINGER PROTEINS,BROMODOMAIN-CONTAINING PROTEIN 1
Brd2,,,MGI:99495,,PTHR22880,PTHR22880:SF225,FALZ-RELATED BROMODOMAIN-CONTAINING PROTEINS,BROMODOMAIN-CONTAINING PROTEIN 2
Brd3,,,MGI:1914632,,PTHR22880,PTHR22880:SF20,FALZ-RELATED BROMODOMAIN-CONTAINING PROTEINS,BROMODOMAIN-CONTAINING PROTEIN 3
Brd4,,,MGI:1888520,,PTHR22880,PTHR22880:SF143,FALZ-RELATED BROMODOMAIN-CONTAINING PROTEINS,BROMODOMAIN-CONTAINING PROTEIN 4
Brd7,,,MGI:1349766,,PTHR22881,PTHR22881:SF12,BROMODOMAIN CONTAINING PROTEIN,BROMODOMAIN-CONTAINING PROTEIN 7
Brd8,,,MGI:1925906,,PTHR15398,PTHR15398:SF6,BROMODOMAIN-CONTAINING PROTEIN 8,BROMODOMAIN-CONTAINING PROTEIN 8
Brd8dc,,,MGI:3045347,,PTHR15398,PTHR15398:SF7,BROMODOMAIN-CONTAINING PROTEIN 8,MCG121508
Brd9,,,MGI:2145317,,PTHR22881,PTHR22881:SF4,BROMODOMAIN CONTAINING PROTEIN,BROMODOMAIN-CONTAINING PROTEIN 9
Brdt,,,MGI:1891374,,PTHR22880,PTHR22880:SF175,FALZ-RELATED BROMODOMAIN-CONTAINING PROTEINS,BROMODOMAIN TESTIS-SPECIFIC PROTEIN
Brf1,,,MGI:1919558,,PTHR11618,PTHR11618:SF4,TRANSCRIPTION INITIATION FACTOR IIB-RELATED,TRANSCRIPTION FACTOR IIIB 90 KDA SUBUNIT
Brf2,,,MGI:1913903,,PTHR11618,PTHR11618:SF5,TRANSCRIPTION INITIATION FACTOR IIB-RELATED,TRANSCRIPTION FACTOR IIIB 50 KDA SUBUNIT
Bri3,,,MGI:1933174,,PTHR13551,PTHR13551:SF1,BRAIN PROTEIN I3,BRAIN PROTEIN I3
Bri3bp,,,MGI:1924059,,PTHR31253,PTHR31253:SF0,BRI3-BINDING PROTEIN,BRI3-BINDING PROTEIN
Bricd5,,,MGI:2441766,,PTHR16483,PTHR16483:SF0,GASTROKINE 1,BRICHOS DOMAIN-CONTAINING PROTEIN 5
Brinp1,,,MGI:1928478,,PTHR15564,PTHR15564:SF7,FAMILY NOT NAMED,BMP/RETINOIC ACID-INDUCIBLE NEURAL-SPECIFIC PROTEIN 1
Brinp2,,,MGI:2443333,,PTHR15564,PTHR15564:SF8,FAMILY NOT NAMED,BMP/RETINOIC ACID-INDUCIBLE NEURAL-SPECIFIC PROTEIN 2
Brinp3,,,MGI:2443035,,PTHR15564,PTHR15564:SF2,FAMILY NOT NAMED,BMP/RETINOIC ACID-INDUCIBLE NEURAL-SPECIFIC PROTEIN 3
Brip1,,,MGI:2442836,,PTHR11472,PTHR11472:SF47,DNA REPAIR DEAD HELICASE RAD3/XP-D SUBFAMILY MEMBER,FANCONI ANEMIA GROUP J PROTEIN
Brix1,,,MGI:1915082,,PTHR13634,PTHR13634:SF0,RIBOSOME BIOGENESIS PROTEIN BRIX,RIBOSOME BIOGENESIS PROTEIN BRX1 HOMOLOG
Brk1,,,MGI:1915406,,PTHR33668,PTHR33668:SF1,PROTEIN BRICK1,PROTEIN BRICK1
Brms1,,,MGI:2388804,,PTHR21964,PTHR21964:SF15,BREAST CANCER METASTASIS-SUPPRESSOR 1,BREAST CANCER METASTASIS-SUPPRESSOR 1
Brms1l,,,MGI:1196337,,PTHR21964,PTHR21964:SF16,BREAST CANCER METASTASIS-SUPPRESSOR 1,BREAST CANCER METASTASIS-SUPPRESSOR 1-LIKE PROTEIN
Brox,,,MGI:1918928,,PTHR23032,PTHR23032:SF1,UNCHARACTERIZED,BRO1 DOMAIN-CONTAINING PROTEIN BROX
Brpf1,,,MGI:1926033,,PTHR13793,PTHR13793:SF85,PHD FINGER PROTEINS,PEREGRIN
Brpf3,,,MGI:2146836,,PTHR13793,PTHR13793:SF19,PHD FINGER PROTEINS,BROMODOMAIN AND PHD FINGER-CONTAINING PROTEIN 3
Brs3,,,MGI:1100501,,PTHR45695,PTHR45695:SF6,LEUCOKININ RECEPTOR-RELATED,BOMBESIN RECEPTOR SUBTYPE-3
Brsk1,,,MGI:2685946,,PTHR24343,PTHR24343:SF130,SERINE/THREONINE KINASE,SERINE/THREONINE-PROTEIN KINASE BRSK1
Brsk2,,,MGI:1923020,,PTHR24343,PTHR24343:SF84,SERINE/THREONINE KINASE,SERINE/THREONINE-PROTEIN KINASE BRSK2
Brwd1,,,MGI:1890651,,PTHR16266,PTHR16266:SF26,WD REPEAT DOMAIN 9,BROMODOMAIN AND WD REPEAT-CONTAINING PROTEIN 1
Brwd3,,,MGI:3029414,,PTHR16266,PTHR16266:SF25,WD REPEAT DOMAIN 9,BROMODOMAIN AND WD REPEAT-CONTAINING PROTEIN 3
Bscl2,,,MGI:1298392,,PTHR21212,PTHR21212:SF0,BERNARDINELLI-SEIP CONGENITAL LIPODYSTROPHY 2 HOMOLOG  BSCL2 PROTEIN,SEIPIN
Bsdc1,,,MGI:1913466,,PTHR16019,PTHR16019:SF5,SYNAPSE-ASSOCIATED PROTEIN,BSD DOMAIN-CONTAINING PROTEIN 1
Bsg,,,MGI:88208,,PTHR10075,PTHR10075:SF12,BASIGIN RELATED,BASIGIN
Bsn,,,MGI:1277955,,PTHR14113,PTHR14113:SF1,PICCOLO/BASSOON,PROTEIN BASSOON
Bsnd,,,MGI:2153465,,PTHR28399,PTHR28399:SF1,BARTTIN,BARTTIN
Bsph1,,,MGI:2685613,,PTHR22918,PTHR22918:SF1,SEMINAL PLASMA PROTEIN,BINDER OF SPERM PROTEIN HOMOLOG 1-RELATED
Bspry,,,MGI:2177191,,PTHR24103,PTHR24103:SF568,E3 UBIQUITIN-PROTEIN LIGASE TRIM,B BOX AND SPRY DOMAIN-CONTAINING PROTEIN
Bst1,,,MGI:105370,,PTHR10912,PTHR10912:SF4,ADP-RIBOSYL CYCLASE,ADP-RIBOSYL CYCLASE/CYCLIC ADP-RIBOSE HYDROLASE 2
Bst2,,,MGI:1916800,,PTHR15190,PTHR15190:SF1,BONE MARROW STROMAL ANTIGEN 2,BONE MARROW STROMAL ANTIGEN 2
Bsx,,,MGI:2669849,,PTHR24327,PTHR24327:SF35,HOMEOBOX PROTEIN,BRAIN-SPECIFIC HOMEOBOX PROTEIN HOMOLOG
Btaf1,,,MGI:2147538,,PTHR10799,PTHR10799:SF814,SNF2/RAD54 HELICASE FAMILY,B-TFIID TATA-BOX-BINDING PROTEIN-ASSOCIATED FACTOR 1
Btbd1,,,MGI:1933765,,PTHR45774,PTHR45774:SF1,BTB/POZ DOMAIN-CONTAINING,BTB/POZ DOMAIN-CONTAINING PROTEIN 1
Btbd10,,,MGI:1916065,,PTHR21637,PTHR21637:SF5,BTB/POZ DOMAIN-CONTAINING PROTEIN 10-RELATED,BTB/POZ DOMAIN-CONTAINING PROTEIN 10
Btbd11,,,MGI:1921257,,PTHR46071,PTHR46071:SF1,ANKYRIN REPEAT AND BTB/POZ DOMAIN-CONTAINING,ANKYRIN REPEAT AND BTB/POZ DOMAIN-CONTAINING PROTEIN BTBD11
Btbd16,,,MGI:3045247,,PTHR46843,PTHR46843:SF1,BTB/POZ DOMAIN-CONTAINING PROTEIN 16,BTB/POZ DOMAIN-CONTAINING PROTEIN 16
Btbd17,,,MGI:1919264,,PTHR24410,PTHR24410:SF12,HL07962P-RELATED,BTB/POZ DOMAIN-CONTAINING PROTEIN 17
Btbd18,,,MGI:3650217,,PTHR47639,PTHR47639:SF1,BTB/POZ DOMAIN-CONTAINING PROTEIN 18,BTB/POZ DOMAIN-CONTAINING PROTEIN 18
Btbd19,,,MGI:1925861,,PTHR46965,PTHR46965:SF1,BTB/POZ DOMAIN-CONTAINING PROTEIN 19,BTB/POZ DOMAIN-CONTAINING PROTEIN 19
Btbd2,,,MGI:1933831,,PTHR45774,PTHR45774:SF6,BTB/POZ DOMAIN-CONTAINING,BTB/POZ DOMAIN-CONTAINING PROTEIN 2
Btbd3,,,MGI:2385155,,PTHR45774,PTHR45774:SF2,BTB/POZ DOMAIN-CONTAINING,BTB/POZ DOMAIN-CONTAINING PROTEIN 3
Btbd35f1,,,MGI:1919097,,PTHR23231,PTHR23231:SF3,GERM CELL-LESS PROTEIN,"BTB DOMAIN-CONTAINING 35, FAMILY MEMBER 10-RELATED"
Btbd35f10,,,MGI:3709278,,PTHR23231,PTHR23231:SF3,GERM CELL-LESS PROTEIN,"BTB DOMAIN-CONTAINING 35, FAMILY MEMBER 10-RELATED"
Btbd35f11,,,MGI:3709280,,PTHR23231,PTHR23231:SF3,GERM CELL-LESS PROTEIN,"BTB DOMAIN-CONTAINING 35, FAMILY MEMBER 10-RELATED"
Btbd35f12,,,MGI:3781040,,PTHR23231,PTHR23231:SF3,GERM CELL-LESS PROTEIN,"BTB DOMAIN-CONTAINING 35, FAMILY MEMBER 10-RELATED"
Btbd35f13,,,MGI:3781105,,PTHR23231,PTHR23231:SF3,GERM CELL-LESS PROTEIN,"BTB DOMAIN-CONTAINING 35, FAMILY MEMBER 10-RELATED"
Btbd35f14,,,MGI:3781111,,PTHR23231,PTHR23231:SF3,GERM CELL-LESS PROTEIN,"BTB DOMAIN-CONTAINING 35, FAMILY MEMBER 10-RELATED"
Btbd35f15,,,MGI:3781091,,PTHR23231,PTHR23231:SF3,GERM CELL-LESS PROTEIN,"BTB DOMAIN-CONTAINING 35, FAMILY MEMBER 10-RELATED"
Btbd35f16,,,MGI:3781877,,PTHR23231,PTHR23231:SF3,GERM CELL-LESS PROTEIN,"BTB DOMAIN-CONTAINING 35, FAMILY MEMBER 10-RELATED"
Btbd35f17,,,MGI:3709272,,PTHR23231,PTHR23231:SF3,GERM CELL-LESS PROTEIN,"BTB DOMAIN-CONTAINING 35, FAMILY MEMBER 10-RELATED"
Btbd35f18,,,MGI:3709282,,PTHR23231,PTHR23231:SF3,GERM CELL-LESS PROTEIN,"BTB DOMAIN-CONTAINING 35, FAMILY MEMBER 10-RELATED"
Btbd35f2,,,MGI:3780968,,PTHR23231,PTHR23231:SF3,GERM CELL-LESS PROTEIN,"BTB DOMAIN-CONTAINING 35, FAMILY MEMBER 10-RELATED"
Btbd35f20,,,MGI:3709274,,PTHR23231,PTHR23231:SF3,GERM CELL-LESS PROTEIN,"BTB DOMAIN-CONTAINING 35, FAMILY MEMBER 10-RELATED"
Btbd35f21,,,MGI:5439402,,PTHR23231,PTHR23231:SF3,GERM CELL-LESS PROTEIN,"BTB DOMAIN-CONTAINING 35, FAMILY MEMBER 10-RELATED"
Btbd35f22,,,MGI:5435000,,PTHR23231,PTHR23231:SF3,GERM CELL-LESS PROTEIN,"BTB DOMAIN-CONTAINING 35, FAMILY MEMBER 10-RELATED"
Btbd35f23,,,MGI:5439401,,PTHR23231,PTHR23231:SF3,GERM CELL-LESS PROTEIN,"BTB DOMAIN-CONTAINING 35, FAMILY MEMBER 10-RELATED"
Btbd35f24,,,MGI:5434719,,PTHR23231,PTHR23231:SF3,GERM CELL-LESS PROTEIN,"BTB DOMAIN-CONTAINING 35, FAMILY MEMBER 10-RELATED"
Btbd35f25,,,MGI:5434963,,PTHR23231,PTHR23231:SF3,GERM CELL-LESS PROTEIN,"BTB DOMAIN-CONTAINING 35, FAMILY MEMBER 10-RELATED"
Btbd35f26,,,MGI:3780952,,PTHR23231,PTHR23231:SF3,GERM CELL-LESS PROTEIN,"BTB DOMAIN-CONTAINING 35, FAMILY MEMBER 10-RELATED"
Btbd35f27,,,MGI:3781937,,PTHR23231,PTHR23231:SF3,GERM CELL-LESS PROTEIN,"BTB DOMAIN-CONTAINING 35, FAMILY MEMBER 10-RELATED"
Btbd35f28,,,MGI:3709183,,PTHR23231,PTHR23231:SF3,GERM CELL-LESS PROTEIN,"BTB DOMAIN-CONTAINING 35, FAMILY MEMBER 10-RELATED"
Btbd35f29,,,MGI:5434802,,PTHR23231,PTHR23231:SF3,GERM CELL-LESS PROTEIN,"BTB DOMAIN-CONTAINING 35, FAMILY MEMBER 10-RELATED"
Btbd35f3,,,MGI:3781882,,PTHR23231,PTHR23231:SF3,GERM CELL-LESS PROTEIN,"BTB DOMAIN-CONTAINING 35, FAMILY MEMBER 10-RELATED"
Btbd35f6,,,MGI:3781142,,PTHR23231,PTHR23231:SF3,GERM CELL-LESS PROTEIN,"BTB DOMAIN-CONTAINING 35, FAMILY MEMBER 10-RELATED"
Btbd35f7,,,MGI:3709265,,PTHR23231,PTHR23231:SF3,GERM CELL-LESS PROTEIN,"BTB DOMAIN-CONTAINING 35, FAMILY MEMBER 10-RELATED"
Btbd35f8,,,MGI:5435054,,PTHR23231,PTHR23231:SF3,GERM CELL-LESS PROTEIN,"BTB DOMAIN-CONTAINING 35, FAMILY MEMBER 10-RELATED"
Btbd6,,,MGI:3026623,,PTHR45774,PTHR45774:SF5,BTB/POZ DOMAIN-CONTAINING,BTB/POZ DOMAIN-CONTAINING PROTEIN 6
Btbd7,,,MGI:1917858,,PTHR16064,PTHR16064:SF3,BTB  POZ  DOMAIN CONTAINING 7,BTB/POZ DOMAIN-CONTAINING PROTEIN 7
Btbd8,,,,,PTHR22427,,,
Btbd9,,,MGI:1916625,,PTHR46306,PTHR46306:SF1,BTB/POZ DOMAIN-CONTAINING PROTEIN 9,BTB/POZ DOMAIN-CONTAINING PROTEIN 9
Btc,,,MGI:99439,,PTHR10740,PTHR10740:SF3,TRANSFORMING GROWTH FACTOR ALPHA,PROBETACELLULIN
Btd,,,MGI:1347001,,PTHR10609,PTHR10609:SF14,BIOTINIDASE-RELATED,BIOTINIDASE
Btf3,,,MGI:1202875,,PTHR10351,PTHR10351:SF28,TRANSCRIPTION FACTOR BTF3 FAMILY MEMBER,TRANSCRIPTION FACTOR BTF3
Btf3l4,,,MGI:1915312,,PTHR10351,PTHR10351:SF29,TRANSCRIPTION FACTOR BTF3 FAMILY MEMBER,TRANSCRIPTION FACTOR BTF3 HOMOLOG 4
Btg1,,,MGI:88215,,PTHR22978,PTHR22978:SF30,B-CELL TRANSLOCATION GENE,PROTEIN BTG1
Btg1b,,,MGI:3588262,,PTHR22978,PTHR22978:SF27,B-CELL TRANSLOCATION GENE,"B CELL TRANSLOCATION GENE 1, ANTI-PROLIFERATIVE, PSEUDOGENE 2"
Btg1c,,,MGI:3588265,,PTHR22978,PTHR22978:SF27,B-CELL TRANSLOCATION GENE,"B CELL TRANSLOCATION GENE 1, ANTI-PROLIFERATIVE, PSEUDOGENE 2"
Btg2,,,MGI:108384,,PTHR22978,PTHR22978:SF29,B-CELL TRANSLOCATION GENE,PROTEIN BTG2
Btg3,,,MGI:109532,,PTHR22978,PTHR22978:SF6,B-CELL TRANSLOCATION GENE,PROTEIN BTG3
Btg4,,,MGI:1860140,,PTHR22978,PTHR22978:SF5,B-CELL TRANSLOCATION GENE,PROTEIN BTG4
Btk,,,MGI:88216,,PTHR24418,PTHR24418:SF92,TYROSINE-PROTEIN KINASE,TYROSINE-PROTEIN KINASE BTK
Btla,,,MGI:2658978,,PTHR37996,PTHR37996:SF1,B- AND T-LYMPHOCYTE ATTENUATOR,B- AND T-LYMPHOCYTE ATTENUATOR
Btn1a1,,,MGI:103118,,PTHR24100,PTHR24100:SF103,BUTYROPHILIN,BUTYROPHILIN SUBFAMILY 1 MEMBER A1
Btn2a2,,,MGI:3606486,,PTHR24100,PTHR24100:SF120,BUTYROPHILIN,BUTYROPHILIN SUBFAMILY 2 MEMBER A2
Btnl1,,,MGI:1932027,,PTHR24100,PTHR24100:SF125,BUTYROPHILIN,BUTYROPHILIN-LIKE PROTEIN 1
Btnl10,,,MGI:2182073,,PTHR24100,PTHR24100:SF116,BUTYROPHILIN,BUTYROPHILIN-LIKE PROTEIN 10
Btnl2,,,MGI:1859549,,PTHR24100,PTHR24100:SF105,BUTYROPHILIN,BTNL2-RELATED
Btnl4,,,MGI:1932036,,PTHR24100,PTHR24100:SF64,BUTYROPHILIN,"BUTYROPHILIN, SUBFAMILY 3, MEMBER A3-RELATED"
Btnl6,,,MGI:1932038,,PTHR24100,PTHR24100:SF64,BUTYROPHILIN,"BUTYROPHILIN, SUBFAMILY 3, MEMBER A3-RELATED"
Btnl9,,,MGI:2442439,,PTHR24100,PTHR24100:SF117,BUTYROPHILIN,BUTYROPHILIN-LIKE PROTEIN 9
Btrc,,,MGI:1338871,,PTHR44156,PTHR44156:SF2,FAMILY NOT NAMED,F-BOX/WD REPEAT-CONTAINING PROTEIN 1A
Bub1,,,MGI:1100510,,PTHR14030,PTHR14030:SF8,MITOTIC CHECKPOINT SERINE/THREONINE-PROTEIN KINASE BUB1,MITOTIC CHECKPOINT SERINE/THREONINE-PROTEIN KINASE BUB1
Bub1b,,,MGI:1333889,,PTHR14030,PTHR14030:SF15,MITOTIC CHECKPOINT SERINE/THREONINE-PROTEIN KINASE BUB1,MITOTIC CHECKPOINT SERINE/THREONINE-PROTEIN KINASE BUB1 BETA
Bub3,,,MGI:1343463,,PTHR10971,PTHR10971:SF5,MRNA EXPORT FACTOR AND BUB3,MITOTIC CHECKPOINT PROTEIN BUB3
Bud13,,,MGI:2443443,,PTHR31809,PTHR31809:SF0,BUD13 HOMOLOG,BUD13 HOMOLOG
Bud23,,,MGI:1913388,,PTHR12734,PTHR12734:SF0,METHYLTRANSFERASE-RELATED,18S RRNA (GUANINE-N(7))-METHYLTRANSFERASE-RELATED
Bud31,,,MGI:2141291,,PTHR19411,PTHR19411:SF0,PROTEIN BUD31-RELATED,PROTEIN BUD31 HOMOLOG
Bves,,,MGI:1346013,,PTHR12101,PTHR12101:SF17,POPEYE DOMAIN CONTAINING PROTEIN,BLOOD VESSEL EPICARDIAL SUBSTANCE
Bysl,,,MGI:1858419,,PTHR12821,PTHR12821:SF0,BYSTIN,BYSTIN
Bzw1,,,MGI:1914132,,PTHR14208,PTHR14208:SF0,BASIC LEUCINE ZIPPER AND W2 DOMAIN-CONTAINING PROTEIN,BASIC LEUCINE ZIPPER AND W2 DOMAIN-CONTAINING PROTEIN 1
Bzw2,,,MGI:1914162,,PTHR14208,PTHR14208:SF7,BASIC LEUCINE ZIPPER AND W2 DOMAIN-CONTAINING PROTEIN,BASIC LEUCINE ZIPPER AND W2 DOMAIN-CONTAINING PROTEIN 2
C030006K11Rik,,,MGI:1925941,,PTHR31449,PTHR31449:SF3,UPF0598 PROTEIN C8ORF82,UPF0598 PROTEIN C8ORF82
C130026I21Rik,,,MGI:3612702,,PTHR46386,PTHR46386:SF8,NUCLEAR BODY PROTEIN SP140,RIKEN CDNA A530032D15RIK GENE-RELATED
C130050O18Rik,,,MGI:2442694,,PTHR37680,PTHR37680:SF1,C130050O18RIK PROTEIN,C130050O18RIK PROTEIN
C130073F10Rik,,,MGI:3045359,,PTHR14224,PTHR14224:SF7,SIMILAR TO PREFERENTIALLY EXPRESSED ANTIGEN IN MELANOMA-LIKE 3,RIKEN CDNA C130073F10 GENE-RELATED
C130074G19Rik,,,MGI:2444831,,PTHR14680,PTHR14680:SF1,SI:DKEY-126G1.9-RELATED,SI:DKEY-126G1.9-RELATED
C1d,,,MGI:1927354,,PTHR15341,PTHR15341:SF3,SUN-COR STEROID HORMONE RECEPTOR CO-REPRESSOR,NUCLEAR NUCLEIC ACID-BINDING PROTEIN C1D
C1galt1,,,MGI:2151071,,PTHR23033,PTHR23033:SF13,"BETA1,3-GALACTOSYLTRANSFERASE",GLYCOPROTEIN-N-ACETYLGALACTOSAMINE 3-BETA-GALACTOSYLTRANSFERASE 1
C1galt1c1,,,MGI:1913493,,PTHR23033,PTHR23033:SF2,"BETA1,3-GALACTOSYLTRANSFERASE",C1GALT1-SPECIFIC CHAPERONE 1
C1qa,,,MGI:88223,,PTHR15427,PTHR15427:SF26,EMILIN  ELASTIN MICROFIBRIL INTERFACE-LOCATED PROTEIN   ELASTIN MICROFIBRIL INTERFACER,COMPLEMENT C1Q SUBCOMPONENT SUBUNIT A
C1qb,,,MGI:88224,,PTHR15427,PTHR15427:SF18,EMILIN  ELASTIN MICROFIBRIL INTERFACE-LOCATED PROTEIN   ELASTIN MICROFIBRIL INTERFACER,COMPLEMENT C1Q SUBCOMPONENT SUBUNIT B
C1qbp,,,MGI:1194505,,PTHR10826,PTHR10826:SF1,COMPLEMENT COMPONENT 1,"COMPLEMENT COMPONENT 1 Q SUBCOMPONENT-BINDING PROTEIN, MITOCHONDRIAL"
C1qc,,,MGI:88225,,PTHR15427,PTHR15427:SF29,EMILIN  ELASTIN MICROFIBRIL INTERFACE-LOCATED PROTEIN   ELASTIN MICROFIBRIL INTERFACER,COMPLEMENT C1Q SUBCOMPONENT SUBUNIT C
C1ql1,,,MGI:1344400,,PTHR22923,PTHR22923:SF64,CEREBELLIN-RELATED,C1Q-RELATED FACTOR
C1ql2,,,MGI:3032521,,PTHR22923,PTHR22923:SF69,CEREBELLIN-RELATED,COMPLEMENT C1Q-LIKE PROTEIN 2
C1ql3,,,MGI:2387350,,PTHR22923,PTHR22923:SF96,CEREBELLIN-RELATED,COMPLEMENT C1Q-LIKE PROTEIN 3
C1ql4,,,MGI:3579909,,PTHR22923,PTHR22923:SF67,CEREBELLIN-RELATED,COMPLEMENT C1Q-LIKE PROTEIN 4
C1qtnf1,,,MGI:1919254,,PTHR22923,PTHR22923:SF63,CEREBELLIN-RELATED,COMPLEMENT C1Q TUMOR NECROSIS FACTOR-RELATED PROTEIN 1
C1qtnf12,,,MGI:1914639,,PTHR24019,PTHR24019:SF12,ADIPOLIN,ADIPOLIN
C1qtnf2,,,MGI:1916433,,PTHR15427,PTHR15427:SF28,EMILIN  ELASTIN MICROFIBRIL INTERFACE-LOCATED PROTEIN   ELASTIN MICROFIBRIL INTERFACER,COMPLEMENT C1Q TUMOR NECROSIS FACTOR-RELATED PROTEIN 2
C1qtnf3,,,MGI:1932136,,PTHR22923,PTHR22923:SF92,CEREBELLIN-RELATED,COMPLEMENT C1Q TUMOR NECROSIS FACTOR-RELATED PROTEIN 3
C1qtnf4,,,MGI:1914695,,PTHR22923,PTHR22923:SF62,CEREBELLIN-RELATED,COMPLEMENT C1Q TUMOR NECROSIS FACTOR-RELATED PROTEIN 4
C1qtnf5,,,MGI:2385958,,PTHR15427,PTHR15427:SF27,EMILIN  ELASTIN MICROFIBRIL INTERFACE-LOCATED PROTEIN   ELASTIN MICROFIBRIL INTERFACER,COMPLEMENT C1Q TUMOR NECROSIS FACTOR-RELATED PROTEIN 5
C1qtnf6,,,MGI:1919959,,PTHR22923,PTHR22923:SF70,CEREBELLIN-RELATED,COMPLEMENT C1Q TUMOR NECROSIS FACTOR-RELATED PROTEIN 6
C1qtnf7,,,MGI:1925911,,PTHR15427,PTHR15427:SF24,EMILIN  ELASTIN MICROFIBRIL INTERFACE-LOCATED PROTEIN   ELASTIN MICROFIBRIL INTERFACER,COMPLEMENT C1Q TUMOR NECROSIS FACTOR-RELATED PROTEIN 7
C1qtnf9,,,MGI:3045252,,PTHR15427,PTHR15427:SF21,EMILIN  ELASTIN MICROFIBRIL INTERFACE-LOCATED PROTEIN   ELASTIN MICROFIBRIL INTERFACER,COMPLEMENT C1Q AND TUMOR NECROSIS FACTOR-RELATED PROTEIN 9A-RELATED
C1ra,,,MGI:1355313,,PTHR24255,PTHR24255:SF25,"COMPLEMENT COMPONENT 1, S SUBCOMPONENT-RELATED",COMPLEMENT C1R SUBCOMPONENT
C1rb,,,MGI:3779804,,PTHR24255,PTHR24255:SF25,"COMPLEMENT COMPONENT 1, S SUBCOMPONENT-RELATED",COMPLEMENT C1R SUBCOMPONENT
C1rl,,,MGI:2660692,,PTHR24255,PTHR24255:SF26,"COMPLEMENT COMPONENT 1, S SUBCOMPONENT-RELATED",COMPLEMENT C1R SUBCOMPONENT-LIKE PROTEIN
C1s1,,,MGI:1355312,,PTHR24255,PTHR24255:SF18,"COMPLEMENT COMPONENT 1, S SUBCOMPONENT-RELATED",COMPLEMENT C1S SUBCOMPONENT
C1s2,,,MGI:3644269,,PTHR24255,PTHR24255:SF18,"COMPLEMENT COMPONENT 1, S SUBCOMPONENT-RELATED",COMPLEMENT C1S SUBCOMPONENT
C2,,,MGI:88226,,PTHR46393,PTHR46393:SF2,FAMILY NOT NAMED,COMPLEMENT C2
C2cd2,,,MGI:1891883,,PTHR21119,PTHR21119:SF7,UNCHARACTERIZED,C2 DOMAIN-CONTAINING PROTEIN 2
C2cd2l,,,MGI:1919014,,PTHR21119,PTHR21119:SF8,UNCHARACTERIZED,PHOSPHOLIPID TRANSFER PROTEIN C2CD2L
C2cd3,,,MGI:2142166,,PTHR21254,PTHR21254:SF1,UNCHARACTERIZED,C2 DOMAIN-CONTAINING PROTEIN 3
C2cd4a,,,MGI:3645763,,PTHR47226,PTHR47226:SF4,C2 CALCIUM-DEPENDENT DOMAIN-CONTAINING PROTEIN 4A,C2 CALCIUM-DEPENDENT DOMAIN-CONTAINING 4A
C2cd4b,,,MGI:1922947,,PTHR47226,PTHR47226:SF3,C2 CALCIUM-DEPENDENT DOMAIN-CONTAINING PROTEIN 4A,C2 CALCIUM-DEPENDENT DOMAIN-CONTAINING PROTEIN 4A
